positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob,minSalary,maxSalary,maxCompanySize,companyScale
高级机器学习建模工程师,3-5年,本科,全职,不需要融资,"金融,移动互联网",马上金融,北京,25k-35k,朝阳区,2018-07-04,['算法'],2000人以上,金融类,风控,0,25.0,35.0,2000,大型企业
机器学习算法工程师（AI方向）,3-5年,本科,全职,C轮,金融,玖富集团,北京,25k-50k,朝阳区,2018-06-22,"['搜索', '深度学习', '推荐', '反作弊']",2000人以上,开发/测试/运维类,数据开发,0,25.0,50.0,2000,大型企业
23048-翻译君机器学习高级工程师（北京）,3-5年,本科,全职,上市公司,"移动互联网 ,游戏",腾讯,北京,18k-36k,海淀区,2018-07-19,['深度学习'],2000人以上,开发/测试/运维类,数据开发,0,18.0,36.0,2000,大型企业
机器学习资深专家（定价方向）,3-5年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-60k,朝阳区,2018-07-19,"['数据挖掘', '算法']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
自然语言处理/机器学习算法工程师,3-5年,本科,全职,不需要融资,"移动互联网,数据服务",百度,北京,15k-30k,海淀区,2018-06-20,['高级'],2000人以上,开发/测试/运维类,后端开发,0,15.0,30.0,2000,大型企业
机器学习工程师(定价方向)-大数据,3-5年,本科,全职,不需要融资,移动互联网,滴滴出行,北京,30k-50k,海淀区,2018-06-28,"['高级', '数据挖掘', '算法']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习算法工程师,3-5年,本科,全职,不需要融资,"移动互联网,电子商务",顺丰科技有限公司,北京,18k-36k,海淀区,2018-07-19,"['物流', '数据挖掘', '自然语言处理']",500-2000人,开发/测试/运维类,数据开发,0,18.0,36.0,2000,大型企业
机器学习大数据引擎架构师/研发工程师,3-5年,本科,全职,天使轮,"信息安全,移动互联网",虎特信息北京办事处,北京,15k-25k,海淀区,2018-07-17,"['安全', '算法', '数据挖掘', 'hadoop', '解决方案']",15-50人,开发/测试/运维类,数据开发,0,15.0,25.0,50,小型企业
AML机器学习平台SRE工程师,3-5年,本科,全职,C轮,"移动互联网,数据服务",字节跳动,北京,25k-50k,海淀区,2018-07-16,['后端开发'],2000人以上,开发/测试/运维类,后端开发,0,25.0,50.0,2000,大型企业
NLP工程师（机器学习/文本挖掘）,3-5年,本科,全职,C轮,"移动互联网,O2O",链家,北京,30k-50k,海淀区,2018-07-16,"['房产服务', '数据挖掘', '算法']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习工程师,3-5年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-50k,朝阳区,2018-06-25,"['算法', '数据挖掘', '深度学习']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习资深专家（智能定价&amp;时间预估）,3-5年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-60k,朝阳区,2018-07-18,"['算法', '数据挖掘', '深度学习', '推荐']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
机器学习算法工程师—搜索推荐方向,3-5年,本科,全职,不需要融资,移动互联网,滴滴出行,北京,30k-50k,昌平区,2018-07-02,['数据挖掘'],2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习方向Java工程师,3-5年,本科,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,25k-45k,朝阳区,2018-07-18,[],2000人以上,开发/测试/运维类,后端开发,0,25.0,45.0,2000,大型企业
机器学习研发部-算法平台高级系统工程师,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,25k-50k,海淀区,2018-07-10,"['云计算', '后端开发', '大数据', 'spark', 'hadoop']",2000人以上,开发/测试/运维类,后端开发,0,25.0,50.0,2000,大型企业
机器学习工程师,3-5年,硕士,全职,B轮,"移动互联网,教育",学堂在线,北京,20k-30k,海淀区,2018-07-18,"['深度学习', '算法', '自然语言处理']",150-500人,开发/测试/运维类,数据开发,0,20.0,30.0,500,中型企业
机器学习-金融事业部,3-5年,硕士,全职,不需要融资,移动互联网,去哪儿网,北京,20k-40k,海淀区,2018-07-19,"['金融', '专家', '算法', '深度学习']",2000人以上,开发/测试/运维类,后端开发,0,20.0,40.0,2000,大型企业
机器学习/计算机图形图像算法工程师,3-5年,硕士,全职,B轮,"社交网络,文化娱乐",糖豆,北京,30k-60k,海淀区,2018-07-11,"['视频', '图像处理', '深度学习', '图形处理']",50-150人,开发/测试/运维类,数据开发,0,30.0,60.0,150,小型企业
搜狗明医-机器学习研究员-北京-02086,3-5年,硕士,全职,上市公司,"移动互联网,数据服务",搜狗,北京,30k-50k,海淀区,2018-07-19,[],2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
资深机器学习工程师,3-5年,硕士,全职,上市公司,金融,京东金融,北京,30k-50k,大兴区,2018-07-19,"['金融', '深度学习', '数据挖掘', '算法']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
