positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,companyFullName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob
Python工程师-机器学习方向,1-3年,本科,全职,未融资,"移动互联网,企业服务",曜辉科技,北京曜辉信息科技有限公司,北京,20K-35K,朝阳区,2018-06-20 12:20:46,['软件开发'],15-50人,开发/测试/运维类,软件开发,0
Python工程师,1-3年,本科,全职,A轮,"移动互联网,硬件",猎户星空,北京猎户星空科技有限公司,北京,15k-30k,朝阳区,2018-07-10 19:55:30,"['人工智能', '机器学习']",500-2000人,开发/测试/运维类,后端开发,0
讲师（R语言／Python）,1-3年,本科,全职,天使轮,"社交网络,教育",经管之家（原人大经济论坛）,北京国富如荷网络科技有限公司,北京,6k-12k,海淀区,2018-07-17 13:39:02,"['金融', '教育', '电商', '培训', '数据分析']",50-150人,其他,教育|培训,0
Python工程师（新华互联）,1-3年,本科,全职,未融资,"文化娱乐,移动互联网",新华书店总店,新华书店总店,北京,7k-14k,西城区,2018-07-19 10:36:13,[],500-2000人,开发|测试|运维类,后端开发,0
爬虫工程师,1-3年,本科,全职,上市公司,"移动互联网,游戏",360,奇虎360科技有限公司,北京,12k-24k,朝阳区,2018-07-18 09:56:38,"['资深', '高级', '中级', '初级', '大数据', '搜索']",2000人以上,开发/测试/运维类,数据开发,0
Python工程师,1-3年,本科,全职,天使轮,"移动互联网,社交网络",互拍,北京互拍科技有限公司,北京,15k-25k,朝阳区,2018-06-26 17:30:26,"['高级', '中级', '后端开发', '爬虫', '大数据']",少于15人,开发/测试/运维类,后端开发,0
Python讲师,1-3年,本科,全职,B轮,"移动互联网,招聘",兄弟连教育,北京易第优教育咨询有限公司,北京,15k-25k,昌平区,2018-07-16 10:30:32,"['爬虫', 'django']",500-2000人,开发/测试/运维类,后端开发,0
研发工程师-Golang/Python,1-3年,本科,全职,A轮,"电子商务,生活服务",Plum,致美生活（北京）科技有限公司,北京,10k-20k,朝阳区,2018-07-19 14:57:09,"['电商', 'php', 'Java']",50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,B轮,"移动互联网,数据服务",象辑科技,华风象辑（北京）气象科技有限公司,北京,10k-20k,海淀区,2018-07-19 09:56:59,['Java'],50-150人,开发/测试/运维类,后端开发,0
Python开发工程师,1年以下,本科,全职,A轮,"移动互联网,电子商务",美秒科技,北京美秒科技有限公司,北京,5k-10k,海淀区,2018-07-18 19:08:47,"['中级', '初级', '实习', 'php', 'Java']",15-50人,开发/测试/运维类,前端开发/移动开发,0
python/PHP开发(J10931),1-3年,本科,全职,不需要融资,"移动互联网,生活服务",便利蜂,便利蜂商贸有限公司,北京,15k-25k,朝阳区,2018-07-16 12:22:15,[],2000人以上,开发/测试/运维类,后端开发,0
爬虫工程师,1-3年,本科,全职,上市公司,金融,京东金融,京东金融,北京,15k-30k,大兴区,2018-07-19 10:10:28,"['软件开发', 'Java', '分布式']",2000人以上,开发/测试/运维类,软件开发,0
PHP/Python开发工程师,1-3年,本科,全职,上市公司,文化娱乐,多牛传媒,北京多牛互动传媒股份有限公司,北京,10k-15k,海淀区,2018-07-16 17:09:16,"['广告营销', 'MySQL', '后端']",150-500人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,C轮,移动互联网,APUS Group,北京麒麟合盛科技有限公司,北京,15k-25k,朝阳区,2018-07-03 10:03:07,"['云计算', '大数据', 'Java', 'MySQL']",150-500人,开发/测试/运维类,后端开发,0
python后端开发工程师,1-3年,本科,全职,天使轮,"移动互联网,社交网络",江山如画网络科技,北京江山如画网路科技有限责任公司,北京,10k-18k,海淀区,2018-07-19 14:47:24,"['web', '服务器端', 'php', 'Java']",少于15人,开发/测试/运维类,后端开发,0
PHP/Python数据平台开发,1-3年,本科,全职,C轮,O2O,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司,北京,15k-30k,,2018-07-19 10:29:21,['汽车'],2000人以上,技术,后端开发,0
爬虫工程师,1-3年,本科,全职,A轮,"移动互联网,金融",罗马金服,北京罗马金服科技有限公司,北京,15k-25k,丰台区,2018-07-19 09:23:09,"['高级', '数据挖掘', 'python']",15-50人,开发/测试/运维类,数据开发,0
Python,1-3年,本科,全职,B轮,"移动互联网,企业服务",数盟网络,北京数字联盟网络科技有限公司,北京,15k-20k,海淀区,2018-07-10 10:30:55,[],50-150人,开发/测试/运维类,后端开发,0
python课程助教,1-3年,本科,全职,D轮及以上,"移动互联网,教育",猿辅导,北京粉笔未来科技有限公司,北京,6k-12k,朝阳区,2018-07-17 10:38:16,"['教育', '培训', '测试']",500-2000人,其他,教育|培训,0
爬虫工程师,1-3年,本科,全职,B轮,"移动互联网,O2O",斗米,北京斗米优聘科技发展有限公司,北京,16k-25k,海淀区,2018-07-18 10:32:13,"['Python', 'Java']",500-2000人,开发/测试/运维类,后端开发,0
